Transaction ID,Date,Day of Week,Time,Type of Card,Entry Mode,Amount,Type of Transaction,Merchant Group,Country of Transaction,Shipping Address,Country of Residence,Gender,Age,Bank,Fraud
#3580 308,13-Oct-20,Tuesday,18,MasterCard,PIN,£349,ATM,Gaming,USA,USA,United Kingdom,F,52,Barclays,0
#3314 821,14-Oct-20,Wednesday,13,Visa,PIN,£268,ATM,Children,USA,United Kingdom,USA,F,59.1,Lloyds,0
#2972 170,13-Oct-20,Tuesday,18,Visa,PIN,£346,ATM,Children,USA,USA,United Kingdom,F,27,HSBC,0
#3550 209,14-Oct-20,Wednesday,14,MasterCard,PIN,£8,ATM,Children,USA,USA,USA,F,19.2,Barlcays,0
#2821 538,14-Oct-20,Wednesday,17,MasterCard,PIN,£5,ATM,Gaming,USA,USA,USA,M,54.4,Metro,0
#3478 193,13-Oct-20,Tuesday,23,Visa,PIN,£137,ATM,Entertainment,USA,United Kingdom,USA,F,31.8,Barclays,0
#3583 110,14-Oct-20,Wednesday,9,Visa,PIN,£20,ATM,Subscription,USA,USA,USA,M,59.7,HSBC,0
#3208 675,13-Oct-20,Tuesday,9,Visa,PIN,£383,ATM,Gaming,USA,USA,USA,M,42.5,Barclays,0
#2661 873,13-Oct-20,Tuesday,21,MasterCard,PIN,£19,ATM,Entertainment,USA,USA,USA,M,47.6,Monzo,0
#2734 389,13-Oct-20,Tuesday,18,MasterCard,PIN,£15,ATM,Gaming,USA,USA,USA,F,46.4,RBS,0
#3184 663,14-Oct-20,Wednesday,11,Visa,PIN,£13,ATM,Services,USA,USA,USA,F,56,Barclays,0
#2834 720,13-Oct-20,Tuesday,10,Visa,PIN,£29,ATM,Electronics,USA,USA,USA,F,49.9,Monzo,0
#3144 447,14-Oct-20,Wednesday,15,Visa,PIN,£16,ATM,Electronics,USA,USA,USA,F,45.2,Metro,0
#3683 242,13-Oct-20,Tuesday,21,Visa,PIN,£28,ATM,Electronics,USA,USA,United Kingdom,F,47.6,Barclays,1
#3119 426,14-Oct-20,Wednesday,9,Visa,PIN,£48,ATM,Children,USA,USA,USA,M,45.9,HSBC,0
#3074 771,13-Oct-20,Tuesday,3,Visa,PIN,£17,ATM,Children,USA,United Kingdom,USA,M,37.9,Barclays,1
#3401 722,14-Oct-20,Wednesday,23,Visa,PIN,£6,ATM,Gaming,USA,USA,United Kingdom,M,60.7,Halifax,1
#2802 004,13-Oct-20,Tuesday,17,MasterCard,PIN,£256,ATM,Products,USA,USA,United Kingdom,F,50.8,Lloyds,0
#2681 588,14-Oct-20,Wednesday,22,MasterCard,PIN,£138,ATM,Fashion,USA,USA,USA,M,54.2,Metro,0
#3239 805,13-Oct-20,Tuesday,7,Visa,PIN,£16,ATM,Electronics,USA,USA,USA,M,52.5,Barclays,0
#2990 387,13-Oct-20,Tuesday,13,MasterCard,PIN,£25,ATM,Subscription,USA,USA,USA,M,39.7,Barclays,0
#2953 291,14-Oct-20,Wednesday,23,Visa,PIN,£11,ATM,Fashion,USA,USA,USA,F,55,Halifax,0
#2633 254,14-Oct-20,Wednesday,9,MasterCard,PIN,£23,ATM,Services,USA,USA,USA,M,46.9,HSBC,0
#3091 245,14-Oct-20,Wednesday,18,Visa,PIN,£21,ATM,Gaming,USA,USA,United Kingdom,M,56.4,Metro,1
#3620 086,13-Oct-20,Tuesday,9,MasterCard,PIN,£21,ATM,Services,USA,USA,United Kingdom,F,47.9,Monzo,0
#3425 595,14-Oct-20,Wednesday,22,MasterCard,PIN,£102,ATM,Food,USA,USA,United Kingdom,F,43.7,HSBC,0
#3216 589,13-Oct-20,Tuesday,13,Visa,PIN,£7,ATM,Food,USA,USA,USA,F,47.6,RBS,0
#3236 087,13-Oct-20,Tuesday,13,Visa,PIN,£235,ATM,Electronics,USA,USA,United Kingdom,F,45.1,Monzo,0
#3228 596,13-Oct-20,Tuesday,8,Visa,PIN,£30,ATM,Products,USA,United Kingdom,USA,F,45.4,Halifax,0
#3386 837,13-Oct-20,Tuesday,7,Visa,PIN,£153,ATM,Products,USA,USA,USA,M,27,RBS,0
#3305 050,13-Oct-20,Tuesday,20,Visa,PIN,£324,ATM,Fashion,USA,USA,United Kingdom,F,44.6,Barclays,0
#2679 334,14-Oct-20,Wednesday,15,Visa,PIN,£274,ATM,Entertainment,USA,USA,United Kingdom,F,54.4,Barclays,0
#2833 134,13-Oct-20,Tuesday,10,Visa,PIN,£29,ATM,Services,USA,USA,USA,F,47.7,Halifax,0
#2790 008,14-Oct-20,Wednesday,20,Visa,PIN,£30,ATM,Restaurant,USA,USA,USA,F,34.3,Metro,0
#3172 813,13-Oct-20,Tuesday,7,Visa,PIN,£303,ATM,Children,USA,USA,USA,F,43,Barclays,0
#3026 043,13-Oct-20,Tuesday,13,MasterCard,PIN,£11,ATM,Food,USA,USA,USA,M,56,Lloyds,0
#3606 021,13-Oct-20,Tuesday,4,MasterCard,PIN,£22,ATM,Subscription,USA,USA,United Kingdom,M,40.8,HSBC,1
#3506 822,13-Oct-20,Tuesday,22,Visa,PIN,£356,ATM,Entertainment,USA,USA,United Kingdom,M,46.7,Barclays,0
#3122 325,13-Oct-20,Tuesday,22,Visa,PIN,£53,ATM,Fashion,USA,USA,USA,M,47.3,Monzo,0
#3098 464,13-Oct-20,Tuesday,19,Visa,PIN,£308,ATM,Subscription,USA,USA,United Kingdom,F,37.5,Barlcays,0
#3253 700,14-Oct-20,Wednesday,7,MasterCard,PIN,£12,ATM,Gaming,USA,USA,USA,F,48.5,Barclays,0
#3534 512,13-Oct-20,Tuesday,7,MasterCard,PIN,£27,ATM,Products,USA,USA,United Kingdom,F,49.1,Metro,0
#3262 133,13-Oct-20,Tuesday,10,Visa,PIN,£28,ATM,Services,USA,USA,USA,F,50.7,Halifax,0
#3517 173,13-Oct-20,Tuesday,12,Visa,PIN,£330,ATM,Fashion,USA,USA,United Kingdom,M,26,HSBC,0
#2900 843,13-Oct-20,Tuesday,7,Visa,PIN,£13,ATM,Subscription,USA,USA,USA,M,46.4,Lloyds,0
#3301 534,14-Oct-20,Wednesday,19,Visa,PIN,£388,ATM,Fashion,USA,USA,USA,F,29.8,RBS,0
#3317 771,13-Oct-20,Tuesday,12,Visa,PIN,£385,ATM,Services,USA,USA,USA,M,64.7,Barlcays,0
#2763 417,13-Oct-20,Tuesday,15,Visa,PIN,£5,ATM,Entertainment,USA,USA,USA,M,51.9,Halifax,0
#2635 065,14-Oct-20,Wednesday,19,Visa,PIN,£22,ATM,Subscription,USA,United Kingdom,USA,F,58.6,Barclays,0
#3571 243,13-Oct-20,Tuesday,10,Visa,PIN,£9,ATM,Entertainment,USA,USA,USA,M,42.9,Halifax,0
#2866 961,13-Oct-20,Tuesday,13,Visa,PIN,£10,ATM,Subscription,USA,USA,USA,M,43.9,Barlcays,0
#2809 723,13-Oct-20,Tuesday,19,Visa,PIN,£5,ATM,Products,USA,USA,USA,M,62,Barclays,0
#3095 121,13-Oct-20,Tuesday,18,Visa,PIN,£20,ATM,Food,USA,USA,United Kingdom,F,54.7,Barclays,0
#2576 961,13-Oct-20,Tuesday,14,Visa,PIN,£27,ATM,Children,USA,USA,United Kingdom,M,57,Lloyds,1
